smiles,logP,hERG,AMES,pKa,pKa_near_7,pKa_near_74,logD7,logD74
Cc1ccc(NC(=O)C(O)=O)cc1,1.01812,0.0055112161906436,0.0708222955465316,5.158897212346395,8.169965705871583,8.169965705871583,-0.18025981819279346,0.18002865279301328
N[C@@]1([C@H]2[C@@H](C[C@H]1OCc1ccc(F)c(F)c1)[C@]2(F)C(O)=O)C(O)=O,1.0746999999999995,0.1508099719882011,0.2652592360973358,3.231349560419719,3.672445755004883,3.672445755004883,-2.253058478949067,-2.6529355635039873
N[C@@]1([C@H]2[C@@H](C[C@H]1OCc1ccc(Cl)c(Cl)c1)[C@]2(F)C(O)=O)C(O)=O,2.1032999999999995,0.1902646027505397,0.1329736143350601,3.190377645492554,3.630781545639038,3.630781545639038,-1.2661040095381133,-1.6659923347062078
