Target_ID
T00895
T01777
T01840
T01973
T02001
T02551
T02562
T02719
T03644
T04902
T05880
T07173
T07303
T07400
T07806
T08014
T08133
T09130
T10482
T11072
T11448
T13644
T15784
T15803
T16633
T16691
T16739
T17163
T17852
T18204
T18477
T19433
T19567
T20333
T21689
T21960
T22285
T23359
T23547
T24793
T24983
T25705
T26220
T26368
T27137
T27812
T28722
T28893
T30082
T30418
T32060
T32984
T33584
T34429
T34624
T36075
T36557
T37693
T38143
T38950
T39078
T40474
T40556
T41141
T42000
T42724
T42748
T44141
T45086
T45151
T45593
T45674
T45993
T46185
T46360
T47101
T47165
T48873
T50942
T51076
T51115
T53024
T54128
T55352
T55729
T55781
T55860
T55936
T57680
T57700
T58454
T58902
T58921
T59102
T59679
T60529
T61657
T61746
T62151
T62276
T62820
T62974
T63414
T63967
T64765
T64830
T65200
T65864
T66161
T66665
T67162
T67684
T69494
T69912
T70967
T70977
T72458
T73724
T73992
T74312
T74456
T75440
T75797
T75907
T76233
T76414
T77365
T77913
T78111
T78429
T78709
T79031
T79062
T79798
T79961
T80782
T80896
T80975
T82543
T83011
T83813
T83875
T84703
T85435
T85670
T86052
T86679
T87024
T87325
T87946
T88318
T88537
